id,ngay,giai_1,giai_2,giai_3,giai_4,giai_5,giai_6,giai_7,thu,giai_db
29,2025-04-25,59647,"20415, 23215","20284, 33476, 90743, 04028, 41596, 46183","1012, 0223, 4790, 7278","7391, 6809, 5596, 2770, 1997, 3368","833, 104, 782","13, 66, 12, 41",Thứ sáu,48177
30,2025-04-26,05420,"77564, 30022","34158, 28601, 05813, 52542, 16434, 69489","5903, 5297, 7048, 4268","6129, 1274, 2306, 2960, 5841, 5919","024, 236, 885","67, 45, 04, 47",Thứ bảy,38497
31,2025-04-28,16674,"26182, 65386","20994, 95654, 42069, 63708, 90138, 39178","9561, 8879, 5035, 9376","9932, 6654, 9505, 7577, 4218, 1174","818, 873, 697","19, 73, 22, 31",Thứ hai,75140
32,2025-04-29,76621,"05745, 68001","49567, 17498, 44294, 60415, 63586, 05602","3314, 1724, 1857, 5460","1908, 9456, 4419, 3442, 0926, 7348","098, 906, 352","21, 02, 88, 57",Thứ ba,77558
33,2025-04-30,38822,"93316, 70828","20028, 93965, 76530, 01948, 44899, 01191","6822, 2507, 6624, 1906","9800, 4549, 0685, 4777, 0450, 0417","886, 921, 159","75, 27, 38, 35",Thứ tư,53078
34,2025-05-01,94271,"10174, 60744","84513, 43477, 48934, 98091, 04199, 17789","9321, 6923, 8206, 0219","1709, 2158, 9079, 4875, 1474, 2721","629, 690, 989","06, 04, 11, 21",Thứ năm,15031
35,2025-05-02,30110,"84955, 63236","71762, 52244, 90383, 44939, 25914, 54592","6718, 0563, 4190, 9936","1368, 5541, 6945, 3370, 6437, 7955","543, 840, 637","63, 89, 75, 61",Thứ sáu,72624
36,2025-05-03,18557,"37863, 15837","94909, 82388, 20095, 33109, 10846, 15543","7754, 3461, 8996, 0994","2984, 4370, 3207, 2251, 8186, 5941","334, 585, 854","15, 67, 94, 76",Thứ bảy,97599
37,2025-05-04,08264,"95851, 51319","02793, 01209, 42378, 89957, 13174, 72424","6590, 4383, 5627, 5751","7510, 4566, 6891, 4252, 8656, 1027","233, 065, 606","40, 53, 63, 92",Chủ nhật,78666
38,2025-05-05,77453,"43477, 35472","72742, 59249, 31475, 74830, 63517, 36467","5139, 6572, 1289, 1522","1433, 1022, 8504, 5330, 4489, 8465","771, 354, 693","15, 03, 78, 71",Thứ hai,48513
39,2025-05-06,47421,"54078, 94032","04370, 93445, 44110, 68245, 26001, 22618","2976, 1999, 2854, 3419","2215, 8874, 9697, 0263, 4585, 1488","432, 455, 662","02, 54, 63, 72",Thứ ba,22024
40,2025-05-07,90210,"83637, 57560","10330, 98990, 05062, 51140, 74145, 34759","2979, 0836, 2110, 6698","9301, 9377, 0145, 2218, 6346, 8707","258, 933, 342","37, 80, 49, 11",Thứ tư,45794
41,2025-05-08,83628,"93572, 68158","46418, 87285, 95438, 99647, 44082, 06607","1633, 3504, 1936, 1010","3835, 6863, 6256, 5681, 7070, 8739","756, 045, 658","93, 14, 68, 60",Thứ năm,34102
42,2025-05-09,11870,"67499, 21131","95848, 22778, 41176, 03643, 17264, 55674","8050, 5156, 6991, 2974","5764, 3841, 8460, 1063, 2155, 4622","569, 981, 973","72, 09, 75, 58",Thứ sáu,62809
43,2025-05-10,01104,"68869, 08704","86863, 16602, 18908, 13771, 73806, 14362","2494, 7000, 6119, 4431","2238, 5156, 3862, 4140, 5065, 3201","612, 003, 000","88, 30, 24, 10",Thứ bảy,74022
44,2025-05-11,52567,"68101, 82803","92176, 37092, 90348, 31490, 38131, 57488","4886, 5239, 5431, 5609","4704, 2634, 1557, 8994, 4244, 2473","192, 268, 018","32, 76, 38, 45",Chủ nhật,00177
45,2025-05-12,14561,"53264, 18044","20416, 89008, 02694, 71579, 54507, 92330","3174, 8928, 1989, 0010","1571, 7224, 5336, 7891, 8676, 5259","945, 388, 789","30, 55, 57, 06",Thứ hai,62640
